z_hmm_model-Nietsdoen,z_hmm_model-Fietsen,z_hmm_model-Springen,z_hmm_model-Tandenpoetsen,z_hmm_model-Lopen,z_hmm_model-LiftAD,z_hmm_model-Trapaf,z_hmm_model-LiftAU,z_hmm_model-Wandelen,z_hmm_model-Trapop,label
-0.4519888161300093,-0.7631162036638437,-3.536191621810872,0.9719534175915553,-2.5899116335271057,2.209365603772968,-1.2685959690527593,1.9960911014877052,-0.7006115039988743,-0.3884719280970158,LiftAD
NaN,-1.7217049297654152,-3.372391427584887,NaN,-2.932209923482387,NaN,-1.9030777700028485,NaN,-1.9907354972916356,-1.7616561317202104,Fietsen
NaN,-1.5596775698844871,-3.251038409774004,NaN,-3.0214073009101443,NaN,-1.593925496804224,NaN,-2.394589515467962,-1.5638710704588243,Fietsen
NaN,-1.3997751623324401,-3.4172524695447937,NaN,-3.0136968113973523,NaN,-1.6036792455941062,NaN,-1.9722498239601722,-1.453422864763298,Fietsen
NaN,-1.7630716792831025,-3.3761873782375766,NaN,-2.922690803503751,NaN,-2.020843886945222,NaN,-1.8873002254225508,-1.6447159805535843,Fietsen
NaN,-1.2919295222609481,-3.498383260191262,NaN,-2.994343750247537,NaN,-1.7298060231810868,NaN,-2.0529616304123985,-1.4009393487110187,Fietsen
NaN,-1.1568601857425416,-3.6161823167297062,NaN,-2.9787780932954875,NaN,-1.6559228096467835,NaN,-1.4586606546263712,-1.2460757416377024,Fietsen
NaN,-1.5194727554318361,-3.449722679966862,NaN,-3.0085105380888457,NaN,-1.8002274709534143,NaN,-2.281057618305391,-1.9882620609706787,Fietsen
NaN,-1.2482855023170345,-3.4755023394307796,NaN,-3.0408407211950452,NaN,-1.5578959601283682,NaN,-2.027505568345597,-1.3399493901242172,Fietsen
NaN,-1.6940519245500465,-3.3686308002339036,NaN,-2.938232665909651,NaN,-2.037722289689121,NaN,-1.8499021415867913,-1.5327322180310687,Fietsen
NaN,-1.6040370701008575,-3.4339717265190894,NaN,-2.945008702291606,NaN,-1.8684520284909882,NaN,-1.9211366229476983,-1.6682704384677154,Fietsen
NaN,-1.280893966836011,-3.485610076125171,NaN,-3.02471207796553,NaN,-1.6985268829575875,NaN,-1.9410847202300185,-1.3553226358076143,Fietsen
NaN,-1.4598066216739056,-3.3910136211118167,NaN,-2.986018584825284,NaN,-1.7442830782290863,NaN,-2.21538151774478,-1.6566475734356974,Fietsen
NaN,-1.833867789738781,-3.361115912247764,NaN,-2.9099288827867995,NaN,-1.942438184789251,NaN,-1.852344718790121,-1.7519812047048156,Fietsen
NaN,-1.2482855023170345,-3.4755023394307796,NaN,-3.0408407211950452,NaN,-1.5578959601283682,NaN,-2.027505568345597,-1.3399493901242172,Fietsen
NaN,-1.5735140705469157,-3.3926840030993595,NaN,-2.938184699208166,NaN,-1.931741070758272,NaN,-1.895588115341686,-1.5186115546169352,Fietsen
NaN,-1.7579653874878518,-3.359964041873975,NaN,-2.9332898869629354,NaN,-2.0595138448866086,NaN,-1.8595654005350213,-1.6034425291294678,Fietsen
NaN,-2.320330789305423,-3.372353277128997,NaN,-2.7921567074038887,NaN,-2.302229508586964,NaN,-1.6616644389608226,-2.722773765530895,Wandelen
NaN,-1.7620425429084126,-3.426863157387971,NaN,-2.879423278412782,NaN,-1.9820530511078618,NaN,-1.6971123013622664,-1.8379375549690251,Wandelen
NaN,-1.8473386488201127,-3.4228765076192698,NaN,-2.9036090492382067,NaN,-2.119932190683381,NaN,-1.732595228669471,-1.9933462641937731,Wandelen
NaN,-2.0445607807227915,-3.310748807200664,NaN,-2.8890591590297685,NaN,-2.019347596634191,NaN,-1.6940749678943854,-2.136940275127878,Wandelen
NaN,-2.8622528143973023,-3.331897216836937,NaN,-2.765965913517055,NaN,-2.649907406831902,NaN,-1.7090123698312023,-3.5542818959889955,Wandelen
NaN,-2.6793739378202823,-3.34258437658321,NaN,-2.7845565090976443,NaN,-2.4400449473938783,NaN,-1.742317823129021,-3.167554895989401,Wandelen
NaN,-1.847052843821894,-3.287615928883426,NaN,-2.8974755375551586,NaN,-1.9402133140720534,NaN,-1.71935207804489,-1.9765545948697933,Wandelen
NaN,-2.537923341816704,-3.370872801118962,NaN,-2.7559119528735296,NaN,-2.3901640010704566,NaN,-1.5836075866247707,-2.9200810209956245,Wandelen
NaN,-3.403531933474165,-3.34053164936799,NaN,-2.723502405949061,NaN,-3.0483903076168706,NaN,-1.845522458483061,-4.495494371025669,Wandelen
NaN,-2.637073098426938,-3.2570284275341996,NaN,-2.818175990330917,NaN,-2.5992260585736457,NaN,-1.743322340024463,-3.2452788027321824,Wandelen
NaN,-2.417800134053182,-3.265912642900097,NaN,-2.866208490483779,NaN,-2.594831115655736,NaN,-1.706897575277002,-2.8259511032235927,Wandelen
NaN,-2.866457926538866,-3.232242486818608,NaN,-2.8136424530662985,NaN,-2.7066911218105885,NaN,-1.7241716547210253,-3.5039037197036302,Wandelen
NaN,-3.0827593131326414,-3.368885538148659,NaN,-2.7280320812628203,NaN,-2.8939736233676614,NaN,-1.74542054177275,-3.7982798222734413,Wandelen
NaN,-2.043848957861965,-3.3458715662823892,NaN,-2.896167951097566,NaN,-1.941493887595799,NaN,-1.7589943556894132,-2.3382739368162344,Wandelen
NaN,-1.7805176595510317,-3.4355148054352904,NaN,-2.806708711597624,NaN,-2.005198416483097,NaN,-1.551078267056746,-1.7604983225775892,Wandelen
NaN,-2.6936807734258332,-3.355677254895754,NaN,-2.7630061277513867,NaN,-2.578954897116538,NaN,-1.6770477773481538,-3.1570090976928316,Wandelen
0.03310763849433513,-0.7596827279384321,-3.537029361135071,1.2623993676801957,-2.589434750049309,2.067261975254286,-1.2650470206883946,2.21258597387046,-0.6995023130704995,-0.36044969892234807,LiftAU
-1.066804199103108,-0.777286267928531,-3.542450674980153,0.47821977898047346,-2.589858472334322,1.7988444630799412,-1.268078920224332,1.6250349583403223,-0.7133889851008763,-0.3734159553317212,LiftAU
-3.934300752846981,-0.8299906209344687,-3.550875408951093,-0.4756354817643294,-2.5944158183286654,1.286014735366584,-1.2942919503868004,1.4347792410144364,-0.7511226175157072,-0.39196397925584153,LiftAU
-0.4379078571345177,-0.7659902122823754,-3.5381160702181322,0.9670878208873074,-2.5899154670732294,2.1176781358268255,-1.267081098646648,2.058910736669956,-0.7033431125902541,-0.3553343388035349,LiftAU
-0.25210575375113303,-0.76434602116763,-3.5439717540084077,1.1290895420107505,-2.5889561045671776,2.169161772670188,-1.2602204678487505,2.094525197854327,-0.7100665591999762,-0.38542146947185674,LiftAU
-0.3945034117598255,-0.7668275490153861,-3.5408859226407263,0.9150130118975303,-2.5897268225817123,2.0991612417068746,-1.264719628174292,1.9995313061920261,-0.7072685190412117,-0.3719450460822535,LiftAU
-3.835307865293586,-0.8219253820965287,-3.5468656482124596,-0.3275092471386104,-2.5939907948745273,1.4762285848291765,-1.2979917222423611,1.7217003402033653,-0.7460508948171198,-0.34428001783000234,LiftAU
-2.7745394655292084,-0.8097269737583661,-3.541357531412117,0.42988889840625627,-2.5936599594608,1.8357173220642373,-1.2962958568061893,2.2285937577903363,-0.7333526347620248,-0.31583715564242076,LiftAU
-3.0641741363070047,-0.8178663788489403,-3.544192826701755,0.09181227559490265,-2.593516826087186,1.6159073413692715,-1.2931964524901607,1.9230279196933433,-0.7365757313809592,-0.3041947339575912,LiftAU
-2.6200321010171197,-0.8081331960950792,-3.542354416264029,0.4113307102221269,-2.5929360627419644,1.669534944188583,-1.2912094223912138,2.035503554911743,-0.7312274070955981,-0.2994403720075412,LiftAU
-0.7108391521210784,-0.7717286580722859,-3.541167350076929,0.8544908674023345,-2.590196732250281,2.0582367431323894,-1.2675229763985045,2.0329994217754077,-0.7100532919116233,-0.37422302634336385,LiftAU
-1.86873524758061,-0.792455133327012,-3.54005643342091,0.6765004530372035,-2.5916972984983873,1.784666645226693,-1.284997716155464,2.121496947945446,-0.7217197627870109,-0.31583035809065796,LiftAU
0.04625903595671149,-0.7579956824257023,-3.536888516954538,1.3470139407779291,-2.588962253455993,1.9047909010180144,-1.2636282062312105,2.1333863649841938,-0.698139186183488,-0.34001620928657067,LiftAU
-2.67556683206999,-0.8075587736615347,-3.5419247241112655,0.20865980856598818,-2.5929944387227115,1.6406202574937134,-1.2908470460822814,1.883508715623889,-0.7301009834341575,-0.3011571984704513,LiftAU
-2.7223451125873543,-0.8078844691940871,-3.542377450828518,0.4051381633002118,-2.593197403561144,1.7987137853443957,-1.2929923336771147,2.0820542320101216,-0.7328785924384383,-0.31992204754114056,LiftAU
-4.879517158965648,-0.8540972299513628,-3.582234638675973,-0.4819881780795252,-2.5914609483335855,1.593349700162931,-1.2783264658561655,1.8616423953343395,-0.8039098397021293,-0.40527085068365315,LiftAU
4.277332891154502,-0.7121377552203346,-3.53271276356659,3.9604520445352605,-2.584544613506953,3.1167074012356655,-1.2419450339724005,3.162002332272895,-0.6725074319936463,-0.28670197360246,Nietsdoen
